subject,dfe_qualification_number,dfe_subject_number,dfe_subject_name,prior_attainment_band,probability_u,probability_e,probability_d,probability_c,probability_b,probability_a,probability_a_star
maths,111,12210,Mathematics,< 1,0.4,,0.2,,0.2,,0.2
maths,111,12210,Mathematics,1 to < 2,0.4,0.2,0.2,,0.2,,
maths,111,12210,Mathematics,2 to < 3,0.5,,4.1666666666666664E-2,0.25,4.1666666666666664E-2,0.125,4.1666666666666664E-2
maths,111,12210,Mathematics,3 to < 4,0.29902912621359223,0.24271844660194175,0.2,0.12233009708737864,9.1262135922330095E-2,3.6893203883495145E-2,7.7669902912621356E-3
maths,111,12210,Mathematics,4 to < 5,0.14675693382834681,0.26708888403581565,0.24874426730727234,0.17514741209871151,8.9539200698842539E-2,5.9401616073378467E-2,1.3321685957632671E-2
maths,111,12210,Mathematics,5 to < 6,5.5067950169875424E-2,0.17907701019252548,0.25360985277463194,0.22536806342015855,0.15133069082672707,0.10964043035107587,2.5906002265005664E-2
maths,111,12210,Mathematics,6 to < 7,1.594236579130839E-2,8.026957936323495E-2,0.16950964443411573,0.22574947710899373,0.22026493144317918,0.2176156170113874,7.0648384847780618E-2
maths,111,12210,Mathematics,7 to < 8,2.2792022792022791E-3,2.0940170940170939E-2,6.3295346628679958E-2,0.13528015194681861,0.20997150997150998,0.35237416904083568,0.21585944919278252
maths,111,12210,Mathematics,8 to < 9,6.5114764772912254E-4,3.6627055184763144E-3,1.1150903467361225E-2,4.0533941071137877E-2,0.1071951815074068,0.3530034185251506,0.48380270226273808
maths,111,12210,Mathematics,>=9,,,,0.10416666666666667,6.25E-2,0.20833333333333334,0.625
further_maths,111,12330,Mathematics (Further),< 1,,,,,1,,
further_maths,111,12330,Mathematics (Further),2 to < 3,,,,1,,,
further_maths,111,12330,Mathematics (Further),3 to < 4,0.23684210526315788,0.26315789473684209,0.26315789473684209,0.13157894736842105,5.2631578947368418E-2,5.2631578947368418E-2,
further_maths,111,12330,Mathematics (Further),4 to < 5,0.12186379928315412,0.1863799283154122,0.21146953405017921,0.21146953405017921,0.16845878136200718,8.2437275985663083E-2,1.7921146953405017E-2
